==================================================
📅 Evaluation Report - 2026-02-02 20:51:38
🤖 Model: ./checkpoints\cwaf_epoch_100.pth
🖼️  Test Set Size: 24
==================================================
Metric     | Average    | Std Dev   
--------------------------------------------------
EN         | 5.1752     | 0.2625    
SD         | 80.5686    | 6.5275    
SF         | 35.4636    | 4.9429    
AG         | 9.3470     | 1.6672    
MI         | 2.8564     | 0.1640    
SCD        | -0.3697    | 0.1325    
Qabf       | 0.0792     | 0.0053    
SSIM       | 0.5101     | 0.0543    

